version,title,chart,level,bpm,notes,genre,artist
1st/sub,22DUNK,NORMAL,3,135,265,TECHNO,SLAKE
1st/sub,22DUNK,HYPER,4,135,323,TECHNO,SLAKE
1st/sub,22DUNK,ANOTHER,5,135,329,TECHNO,SLAKE
1st/sub,5.1.1.,NORMAL,2,101,99,PIANO AMBIENT,dj nagureo
1st/sub,5.1.1.,HYPER,6,101,511,PIANO AMBIENT,dj nagureo
1st/sub,5.1.1.,ANOTHER,10,101,786,PIANO AMBIENT,dj nagureo
1st/sub,deep in you,NORMAL,4,126,250,DANCE POP,dj nagureo
1st/sub,deep in you,HYPER,4,126,255,DANCE POP,dj nagureo
1st/sub,deep in you,ANOTHER,5,126,333,DANCE POP,dj nagureo
1st/sub,Dr.LOVE,NORMAL,2,123,204,DANCE POP,baby weapon  feat.Asuka.M
1st/sub,Dr.LOVE,HYPER,3,123,261,DANCE POP,baby weapon  feat.Asuka.M
1st/sub,Dr.LOVE,ANOTHER,4,123,290,DANCE POP,baby weapon  feat.Asuka.M
1st/sub,GAMBOL,NORMAL,2,102,137,BIG BEAT,SLAKE
1st/sub,GAMBOL,HYPER,2,102,137,BIG BEAT,SLAKE
1st/sub,GENOM SCREAMS,NORMAL,3,150,211,TRANCE,L.E.D. LIGHT
1st/sub,GENOM SCREAMS,HYPER,6,150,417,TRANCE,L.E.D. LIGHT
1st/sub,GENOM SCREAMS,ANOTHER,9,150,536,TRANCE,L.E.D. LIGHT
1st/sub,gentle stress,NORMAL,2,175,172,DRUM'N'BASS,DJ Swan
1st/sub,gentle stress,HYPER,4,175,342,DRUM'N'BASS,DJ Swan
1st/sub,gentle stress,ANOTHER,9,175,728,DRUM'N'BASS,DJ Swan
1st/sub,GRADIUSIC CYBER,NORMAL,5,159～167,442,DIGI-ROCK,TAKA
1st/sub,GRADIUSIC CYBER,HYPER,6,159～167,508,DIGI-ROCK,TAKA
1st/sub,GRADIUSIC CYBER,ANOTHER,7,160～167,609,DIGI-ROCK,TAKA
1st/sub,KEEP ON MOVIN',NORMAL,2,132,98,DANCE POP,N.M.R.
1st/sub,KEEP ON MOVIN',HYPER,3,132,122,DANCE POP,N.M.R.
1st/sub,Macho Gang,NORMAL,2,125,191,TRIBAL HOUSE,ANAL SPYDER
1st/sub,Macho Gang,HYPER,7,125,548,TRIBAL HOUSE,ANAL SPYDER
1st/sub,Macho Gang,ANOTHER,10,125,837,TRIBAL HOUSE,ANAL SPYDER
1st/sub,PARANOIA MAX～DIRTY MIX～,NORMAL,5,190,280,JUNGLE,190
1st/sub,PARANOIA MAX～DIRTY MIX～,HYPER,6,190,376,JUNGLE,190
1st/sub,PARANOIA MAX～DIRTY MIX～,ANOTHER,8,190,562,JUNGLE,190
1st/sub,R3,NORMAL,4,157,330,RAVE,tiger YAMATO
1st/sub,R3,HYPER,5,157,368,RAVE,tiger YAMATO
1st/sub,R3,ANOTHER,6,157,454,RAVE,tiger YAMATO
1st/sub,RUGGED ASH,NORMAL,3,168,185,FUTURE JAZZ,SYMPHONIC DEFOGGERS
1st/sub,RUGGED ASH,HYPER,3,168,201,FUTURE JAZZ,SYMPHONIC DEFOGGERS
1st/sub,RUGGED ASH,ANOTHER,9,168,556,FUTURE JAZZ,SYMPHONIC DEFOGGERS
1st/sub,RUGGED ASH,LEGGENDARIA,11,168,1058,FUTURE JAZZ,SYMPHONIC DEFOGGERS
1st/sub,THE EARTH LIGHT,NORMAL,4,145,398,TRANCE,L.E.D. LIGHT
1st/sub,THE EARTH LIGHT,HYPER,7,145,530,TRANCE,L.E.D. LIGHT
1st/sub,THE EARTH LIGHT,ANOTHER,8,145,581,TRANCE,L.E.D. LIGHT
2nd,0.59,NORMAL,4,123～135,360,CHILL OUT,dj TAKA
2nd,0.59,HYPER,6,123～135,514,CHILL OUT,dj TAKA
2nd,.59,ANOTHER,7,123～135,584,CHILL OUT,dj TAKA
2nd,Digital MinD(A/T Libra mix),NORMAL,4,155,374,MINIMAL,TaQ
2nd,Digital MinD(A/T Libra mix),HYPER,5,155,542,MINIMAL,TaQ
2nd,Digital MinD(A/T Libra mix),ANOTHER,6,155,573,MINIMAL,TaQ
2nd,Electro Tuned(the SubS mix),NORMAL,4,125,390,BIG BEAT,TaQ
2nd,Electro Tuned(the SubS mix),HYPER,5,125,483,BIG BEAT,TaQ
2nd,Electro Tuned(the SubS mix),ANOTHER,6,125,537,BIG BEAT,TaQ
2nd,I Was The One,NORMAL,3,125,272,ITALO HOUSE,good-cool
2nd,I Was The One,HYPER,3,125,326,ITALO HOUSE,good-cool
2nd,I Was The One,ANOTHER,4,125,348,ITALO HOUSE,good-cool
2nd,Indigo Vision(full flavour hide around mix),NORMAL,3,155,442,GOA TRANCE,TaQ
2nd,Indigo Vision(full flavour hide around mix),HYPER,5,155,569,GOA TRANCE,TaQ
2nd,Indigo Vision(full flavour hide around mix),ANOTHER,8,155,617,GOA TRANCE,TaQ
2nd,PUT YOUR FAITH IN ME(for beatmania II),NORMAL,3,127,291,JAZZ FUNK,dj TAKA feat. UZI-LAY
2nd,PUT YOUR FAITH IN ME(for beatmania II),HYPER,6,127,434,JAZZ FUNK,dj TAKA feat. UZI-LAY
2nd,SP-TRIP MACHINE(for beatmania II),NORMAL,3,168,254,JUNGLE,dj TAKA feat. DE-SIRE
2nd,SP-TRIP MACHINE(for beatmania II),HYPER,4,168,313,JUNGLE,dj TAKA feat. DE-SIRE
2nd,SP-TRIP MACHINE(for beatmania II),ANOTHER,4,168,324,JUNGLE,dj TAKA feat. DE-SIRE
